Courses,Drop Deadline,Post 1,Post 1 By,Comment 1,Comment 1 By
CSE583,11/21/19,Homework 1 for CSE583?,alto15@nittany.edu,I also have the same question.,alok16@nittany.edu
CSE543,11/21/19,,,,
CMPSC431W,11/21/19,Exam for CMPSC431W?,jaze94@nittany.edu,Do we have an exam?,ishu24@nittany.edu
CMPSC461,11/21/19,,,,
CMPSC465,11/21/19,Homework 1 for CMPSC465?,rehi30@nittany.edu,I also have the same question.,jewa28@nittany.edu
CMPSC448,11/21/19,,,,
CMPSC475,11/21/19,Exam for CMPSC475?,kaab84@nittany.edu,Do we have an exam?,mial87@nittany.edu
CMPSC497,11/21/19,,,,
CMPSC131,11/21/19,Homework 1 for CMPSC131?,skma88@nittany.edu,I also have the same question.,mrtr63@nittany.edu
CMPSC132,11/21/19,,,,
CMPSC221,11/21/19,Exam for CMPSC221?,wigu91@nittany.edu,Do we have an exam?,jaku96@nittany.edu
CMPSC360,11/21/19,,,,
CMPSC311,11/21/19,Homework 1 for CMPSC311?,stcr94@nittany.edu,I also have the same question.,miku14@nittany.edu
CMPEN270,11/21/19,,,,
CMPEN331,11/21/19,Exam for CMPEN331?,shma15@nittany.edu,Do we have an exam?,mram41@nittany.edu
CMPEN351,11/21/19,,,,
CMPEN362,11/21/19,Homework 1 for CMPEN362?,rale42@nittany.edu,I also have the same question.,ansp85@nittany.edu
CMPEN411,11/21/19,,,,
CMPEN431,11/21/19,Exam for CMPEN431?,cara40@nittany.edu,Do we have an exam?,crke70@nittany.edu
CMPEN441,11/21/19,,,,
CMPEN454,11/21/19,Homework 1 for CMPEN454?,gije92@nittany.edu,I also have the same question.,geli87@nittany.edu
EE210,11/21/19,,,,
EE211,11/21/19,Exam for EE211?,elbo84@nittany.edu,Do we have an exam?,ikwe96@nittany.edu
EE212,11/21/19,,,,
EE311,11/21/19,Homework 1 for EE311?,habo83@nittany.edu,I also have the same question.,grcu17@nittany.edu
EE320,11/21/19,,,,
EE330,11/21/19,Exam for EE330?,haru83@nittany.edu,Do we have an exam?,ansh34@nittany.edu
EE340,11/21/19,,,,
EE352,11/21/19,Homework 1 for EE352?,anli23@nittany.edu,I also have the same question.,jeha67@nittany.edu
EE353,11/21/19,,,,
MATH140,11/21/19,Exam for MATH140?,mast74@nittany.edu,Do we have an exam?,wile86@nittany.edu
MATH141,11/21/19,,,,
MATH230,11/21/19,Homework 1 for MATH230?,keba40@nittany.edu,I also have the same question.,jeko74@nittany.edu
MATH231,11/21/19,,,,
PHYS211,11/21/19,Exam for PHYS211?,sepr30@nittany.edu,Do we have an exam?,jucr26@nittany.edu
PHYS212,11/21/19,,,,
PHYS213,11/21/19,Homework 1 for PHYS213?,mrad43@nittany.edu,I also have the same question.,mine24@nittany.edu
PHYS214,11/21/19,,,,
STAT318,11/21/19,Exam for STAT318?,samc77@nittany.edu,Do we have an exam?,baly73@nittany.edu
STAT319,11/21/19,,,,
STAT414,11/21/19,Homework 1 for STAT414?,anbl73@nittany.edu,I also have the same question.,bran68@nittany.edu
STAT415,11/21/19,,,,
ECON101,11/21/19,Exam for ECON101?,eiul87@nittany.edu,Do we have an exam?,elda68@nittany.edu
ECON102,11/21/19,,,,
ECON201,11/21/19,Homework 1 for ECON201?,ensc81@nittany.edu,I also have the same question.,essm84@nittany.edu
CHEM110,11/21/19,,,,
CHEM111,11/21/19,Exam for CHEM111?,drel69@nittany.edu,Do we have an exam?,alle11@nittany.edu
CHEM112,11/21/19,,,,
IST110,11/21/19,Homework 1 for IST110?,pari32@nittany.edu,I also have the same question.,lula26@nittany.edu
IST558,11/21/19,,,,
IST128,11/21/19,Exam for IST128?,maba23@nittany.edu,Do we have an exam?,juob46@nittany.edu
DS220,11/21/19,,,,
DS120,11/21/19,Homework 1 for DS120?,jopa57@nittany.edu,I also have the same question.,trpr95@nittany.edu
DS410,11/21/19,,,,
