Name,Email,Password,Age,Gender,Department,Office,Department Name,Title,Teaching Team ID,Teaching
Dr Nann Wood,dn91@nittany.edu,r403d0qn,56,M,CSE,"256, Building 18",Computer Science and Engineering,Head,37,CSE583
Dr Norton Hughes,dn91@nittany.edu,yzpp5f1t,48,F,CSE,"212, Building 18",Computer Science and Engineering,Professor,48,CSE543
Dr Russell Richardson,dr24@nittany.edu,1d7gjq5g,53,M,CMPSC,"168, Building 7",Computer Science,Head,35,CMPSC431W
Dr Halsey Lopez,dh36@nittany.edu,rq02mf0g,52,F,CMPSC,"289, Building 7",Computer Science,Professor,38,CMPSC461
Dr Dikembe Sanchez,dd98@nittany.edu,duf07wf7,47,M,CMPSC,"232, Building 7",Computer Science,Professor,5,CMPSC465
Dr Freowine Rogers,df38@nittany.edu,5p2ex4mp,47,M,CMPSC,"105, Building 7",Computer Science,Professor,2,CMPSC448
Dr Deshawn Cox,dd30@nittany.edu,ususknvt,51,M,CMPSC,"187, Building 7",Computer Science,Professor,23,CMPSC475
Dr Gil Bell,dg17@nittany.edu,bg3kzhnv,52,M,CMPSC,"284, Building 7",Computer Science,Professor,30,CMPSC497
Dr Sheldon Cook,ds70@nittany.edu,4oioidlt,56,M,CMPSC,"253, Building 7",Computer Science,Professor,42,CMPSC131
Dr Walker Campbell,dw77@nittany.edu,gvaocvt1,58,M,CMPSC,"126, Building 7",Computer Science,Professor,25,CMPSC132
Dr Luca Torres,dl53@nittany.edu,c2hp2dd4,57,F,CMPSC,"188, Building 7",Computer Science,Professor,33,CMPSC221
Dr Royce Edwards,dr67@nittany.edu,yqh493g3,48,M,CMPSC,"261, Building 7",Computer Science,Professor,13,CMPSC360
Dr Blas Butler,db68@nittany.edu,wgqpqh2t,44,F,CMPSC,"228, Building 7",Computer Science,Professor,11,CMPSC311
Dr Jerred Martinez,dj15@nittany.edu,wmb17np1,55,F,CMPEN,"239, Building 5",Computer Engineering,Head,52,CMPEN270
Dr Wincent Peterson,dw74@nittany.edu,jqy2dgis,60,F,CMPEN,"160, Building 5",Computer Engineering,Professor,3,CMPEN331
Dr Kofi Myers,dk54@nittany.edu,v9xe9cd3,46,M,CMPEN,"222, Building 5",Computer Engineering,Professor,43,CMPEN351
Dr Derwent White,dd51@nittany.edu,6v7gf9s0,59,F,CMPEN,"138, Building 5",Computer Engineering,Professor,54,CMPEN362
Dr Beauregard Moore,db59@nittany.edu,0p3ipgfz,59,M,CMPEN,"107, Building 5",Computer Engineering,Professor,28,CMPEN411
Dr Halliwell Phillips,dh13@nittany.edu,tqsaz0vp,43,M,CMPEN,"124, Building 5",Computer Engineering,Professor,16,CMPEN431
Dr Rich Collins,dr80@nittany.edu,sx0mkxzn,49,M,CMPEN,"142, Building 5",Computer Engineering,Professor,24,CMPEN441
Dr Ford Price,df59@nittany.edu,jtoamzax,56,F,CMPEN,"189, Building 5",Computer Engineering,Professor,47,CMPEN454
Dr Merle Hill,dm51@nittany.edu,m18o3u41,60,M,EE,"180, Building 13",Electrical and Electronics Engineering,Head,44,EE210
Dr Thatcher Jenkins,dt23@nittany.edu,jxxciuc9,52,M,EE,"296, Building 13",Electrical and Electronics Engineering,Professor,4,EE211
Dr Arlie Adams,da13@nittany.edu,dc06u9nm,60,F,EE,"131, Building 13",Electrical and Electronics Engineering,Professor,40,EE212
Dr Aspen Brown,da22@nittany.edu,s6ali6hq,49,F,EE,"276, Building 13",Electrical and Electronics Engineering,Professor,6,EE311
Dr Raimy Perez,dr30@nittany.edu,44j06cnw,53,M,EE,"152, Building 13",Electrical and Electronics Engineering,Professor,26,EE320
Dr Cassidy Gomez,dc61@nittany.edu,diy0nmdr,44,F,EE,"149, Building 13",Electrical and Electronics Engineering,Professor,53,EE330
Dr Baldwin Roberts,db92@nittany.edu,6cbbt7ot,42,F,EE,"293, Building 13",Electrical and Electronics Engineering,Professor,17,EE340
Dr Searles Williams,ds79@nittany.edu,29cu0i4q,53,F,EE,"219, Building 13",Electrical and Electronics Engineering,Professor,15,EE352
Dr Karol Hodgson,dk36@nittany.edu,a4827x3j,46,M,EE,"144, Building 13",Electrical and Electronics Engineering,Professor,19,EE353
Dr Jackie Carpenter,dj56@nittany.edu,55ycoqop,47,F,MATH,"181, Building 12",Mathematics,Head,36,MATH140
Dr Casimiro Young,dc36@nittany.edu,l9q4tta8,41,F,MATH,"277, Building 12",Mathematics,Professor,41,MATH141
Dr Virginia Hines,dv46@nittany.edu,tslak1a6,45,F,MATH,"268, Building 12",Mathematics,Professor,50,MATH230
Dr Bethel Hawkins,db91@nittany.edu,d1uz3aya,44,M,MATH,"294, Building 12",Mathematics,Professor,45,MATH231
Dr Addai Reyes,da72@nittany.edu,mpe2olmx,48,F,PHYS,"174, Building 8",Physics,Head,12,PHYS211
Dr Erasmo Martin,de43@nittany.edu,ebtz2fob,50,F,PHYS,"127, Building 8",Physics,Professor,49,PHYS212
Dr Mikelle Parry,dm10@nittany.edu,2koidnt2,41,M,PHYS,"182, Building 8",Physics,Professor,14,PHYS213
Dr Buddy Sutherland,db15@nittany.edu,845bd92l,57,M,PHYS,"175, Building 8",Physics,Professor,29,PHYS214
Dr Adan Senior,da28@nittany.edu,owq94wfe,57,F,STAT,"110, Building 14",Statistics,Head,21,STAT318
Dr Cavan Jacobs,dc76@nittany.edu,rlj07keq,56,M,STAT,"156, Building 14",Statistics,Professor,18,STAT319
Dr Carlyle Peters,dc88@nittany.edu,x26uaxzr,42,M,STAT,"227, Building 14",Statistics,Professor,39,STAT414
Dr Roy Fuller,dr38@nittany.edu,gusbe091,41,M,STAT,"104, Building 14",Statistics,Professor,46,STAT415
Dr Lexis Gardner,dl23@nittany.edu,zrcwnnrz,46,F,ECON,"206, Building 15",Economics,Head,51,ECON101
Dr Welborn Mitchell,dw46@nittany.edu,9ozcn0sr,55,M,ECON,"236, Building 15",Economics,Professor,20,ECON102
Dr Kourtney Booth,dk70@nittany.edu,cqw7hrg3,51,M,ECON,"224, Building 15",Economics,Professor,27,ECON201
Dr Finch Foster,df59@nittany.edu,9uhmclic,50,F,CHEM,"217, Building 3",Chemistry,Head,10,CHEM110
Dr Royal Parsons,dr96@nittany.edu,cukoqrzk,44,M,CHEM,"257, Building 3",Chemistry,Professor,31,CHEM111
Dr Konnor Nicholson,dk44@nittany.edu,sekbfhqm,55,M,CHEM,"170, Building 3",Chemistry,Professor,34,CHEM112
Dr Rudd Sullivan,dr38@nittany.edu,qui392mr,53,M,IST,"195, Building 10",Information Science and Technology,Head,1,IST110
Dr Radcliff Silva,dr69@nittany.edu,ogmh36q7,56,M,IST,"274, Building 10",Information Science and Technology,Professor,32,IST558
Dr Mina Harding,dm28@nittany.edu,2xzermda,57,F,IST,"184, Building 10",Information Science and Technology,Professor,7,IST128
Dr Jair Woods,dj59@nittany.edu,x2boxvpo,58,M,DS,"213, Building 6",Data Science,Head,8,DS220
Dr Ralf Reed,dr91@nittany.edu,m56icvld,56,M,DS,"270, Building 6",Data Science,Professor,9,DS120
Dr Marni Amor,dm17@nittany.edu,jlt1x825,56,M,DS,"216, Building 6",Data Science,Professor,22,DS410
