post_id,post,course,post_email,comment,comment_email
1,Homework 1 for CSE583?,CSE583,rr8243@nittany.edu,I also have the same question.,mb1688@nittany.edu
2,Exam for CMPSC431W?,CMPSC431W,ld4137@nittany.edu,Do we have an exam?,jz5577@nittany.edu
3,Homework 1 for CMPSC465?,CMPSC465,dm4287@nittany.edu,I also have the same question.,my3786@nittany.edu
4,Exam for CMPSC475?,CMPSC475,fs1546@nittany.edu,Do we have an exam?,tb8127@nittany.edu
5,Homework 1 for CMPSC131?,CMPSC131,jr8665@nittany.edu,I also have the same question.,mo2344@nittany.edu
6,Exam for CMPSC221?,CMPSC221,cg4965@nittany.edu,Do we have an exam?,gk3247@nittany.edu
7,Homework 1 for CMPSC311?,CMPSC311,mf6881@nittany.edu,I also have the same question.,ms6173@nittany.edu
8,Exam for CMPEN331?,CMPEN331,ih9335@nittany.edu,Do we have an exam?,dw8054@nittany.edu
9,Homework 1 for CMPEN362?,CMPEN362,pb8346@nittany.edu,I also have the same question.,er2818@nittany.edu
10,Exam for CMPEN431?,CMPEN431,lh7203@nittany.edu,Do we have an exam?,dc5453@nittany.edu
11,Homework 1 for CMPEN454?,CMPEN454,nb5135@nittany.edu,I also have the same question.,bk5477@nittany.edu
12,Exam for EE211?,EE211,mc9149@nittany.edu,Do we have an exam?,mr1020@nittany.edu
13,Homework 1 for EE311?,EE311,sn9491@nittany.edu,I also have the same question.,rt4621@nittany.edu
14,Exam for EE330?,EE330,lb6520@nittany.edu,Do we have an exam?,bl3745@nittany.edu
15,Homework 1 for EE352?,EE352,js8165@nittany.edu,I also have the same question.,ej3628@nittany.edu
16,Exam for MATH140?,MATH140,lk7361@nittany.edu,Do we have an exam?,md6611@nittany.edu
17,Homework 1 for MATH230?,MATH230,af8503@nittany.edu,I also have the same question.,ak5890@nittany.edu
18,Exam for PHYS211?,PHYS211,lt8326@nittany.edu,Do we have an exam?,cd4187@nittany.edu
19,Homework 1 for PHYS213?,PHYS213,fb4575@nittany.edu,I also have the same question.,eh3966@nittany.edu
20,Exam for STAT318?,STAT318,ca5845@nittany.edu,Do we have an exam?,la7071@nittany.edu
21,Homework 1 for STAT414?,STAT414,ds8193@nittany.edu,I also have the same question.,ak1365@nittany.edu
22,Exam for ECON101?,ECON101,sg4622@nittany.edu,Do we have an exam?,dw2632@nittany.edu
23,Homework 1 for ECON201?,ECON201,sg9224@nittany.edu,I also have the same question.,aw5441@nittany.edu
24,Exam for CHEM111?,CHEM111,mj2446@nittany.edu,Do we have an exam?,lm1111@nittany.edu
25,Homework 1 for IST110?,IST110,dl4708@nittany.edu,I also have the same question.,ah4627@nittany.edu
26,Exam for IST128?,IST128,mg8599@nittany.edu,Do we have an exam?,er6539@nittany.edu
27,Homework 1 for DS120?,DS120,rh2046@nittany.edu,I also have the same question.,js8078@nittany.edu
