email,course,hw_num,hw_grade,hw_details,exam_num,exam_details,exam_grade
al4613@nittany.edu,EE320,1.0,93.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,93.0
al4613@nittany.edu,EE212,1.0,85.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,85.0
al4613@nittany.edu,CMPEN454,1.0,90.0,Turn in this homework online!,1.0,,90.0
am4447@nittany.edu,PHYS212,1.0,95.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,95.0
am4447@nittany.edu,IST110,1.0,64.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,64.0
am4447@nittany.edu,CMPEN331,1.0,60.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,60.0
ak9804@nittany.edu,CMPEN411,1.0,79.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,79.0
ak9804@nittany.edu,MATH231,1.0,80.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,80.0
ak9804@nittany.edu,CHEM111,1.0,74.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,74.0
as1233@nittany.edu,CMPSC360,1.0,60.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,60.0
as1233@nittany.edu,CMPEN431,1.0,69.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,69.0
as1233@nittany.edu,EE330,1.0,67.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,67.0
al5684@nittany.edu,CMPSC497,1.0,97.0,Turn in this homework online!,1.0,,97.0
al5684@nittany.edu,CMPSC461,1.0,96.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,96.0
al5684@nittany.edu,CMPSC475,1.0,97.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,97.0
al6759@nittany.edu,CMPSC360,1.0,88.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,88.0
al6759@nittany.edu,PHYS213,1.0,75.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,75.0
al6759@nittany.edu,ECON101,1.0,94.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,94.0
ah2567@nittany.edu,CMPEN351,1.0,75.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,75.0
ah2567@nittany.edu,STAT414,1.0,80.0,Turn in this homework online!,1.0,,80.0
ah2567@nittany.edu,MATH230,1.0,84.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,84.0
ab8825@nittany.edu,PHYS211,1.0,78.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,78.0
ab8825@nittany.edu,CMPEN270,1.0,96.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,96.0
ab8825@nittany.edu,STAT319,1.0,95.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,95.0
ak1365@nittany.edu,CMPSC465,1.0,71.0,Turn in this homework online!,1.0,Closed book exam for 100 marks,71.0
