Name,Email,Age,Gender,Department,Office,Department Name,Title,Teaching Team ID,Teaching
Dr Nann Wood,nw51@nittany.edu,56,M,CSE,"256, Building 18",Computer Science and Engineering,Head,37,CSE583
Dr Norton Hughes,nh89@nittany.edu,48,F,CSE,"212, Building 18",Computer Science and Engineering,Professor,48,CSE543
Dr Russell Richardson,rr82@nittany.edu,53,M,CMPSC,"168, Building 7",Computer Science,Head,35,CMPSC431W
Dr Halsey Lopez,hl43@nittany.edu,52,F,CMPSC,"289, Building 7",Computer Science,Professor,38,CMPSC461
Dr Dikembe Sanchez,ds51@nittany.edu,47,M,CMPSC,"232, Building 7",Computer Science,Professor,5,CMPSC465
Dr Freowine Rogers,fr23@nittany.edu,47,M,CMPSC,"105, Building 7",Computer Science,Professor,2,CMPSC448
Dr Deshawn Cox,dc80@nittany.edu,51,M,CMPSC,"187, Building 7",Computer Science,Professor,23,CMPSC475
Dr Gil Bell,gb44@nittany.edu,52,M,CMPSC,"284, Building 7",Computer Science,Professor,30,CMPSC497
Dr Sheldon Cook,sc45@nittany.edu,56,M,CMPSC,"253, Building 7",Computer Science,Professor,42,CMPSC131
Dr Walker Campbell,wc77@nittany.edu,58,M,CMPSC,"126, Building 7",Computer Science,Professor,25,CMPSC132
Dr Luca Torres,lt47@nittany.edu,57,F,CMPSC,"188, Building 7",Computer Science,Professor,33,CMPSC221
Dr Royce Edwards,re79@nittany.edu,48,M,CMPSC,"261, Building 7",Computer Science,Professor,13,CMPSC360
Dr Blas Butler,bb77@nittany.edu,44,F,CMPSC,"228, Building 7",Computer Science,Professor,11,CMPSC311
Dr Jerred Martinez,jm33@nittany.edu,55,F,CMPEN,"239, Building 5",Computer Engineering,Head,52,CMPEN270
Dr Wincent Peterson,wp45@nittany.edu,60,F,CMPEN,"160, Building 5",Computer Engineering,Professor,3,CMPEN331
Dr Kofi Myers,km14@nittany.edu,46,M,CMPEN,"222, Building 5",Computer Engineering,Professor,43,CMPEN351
Dr Derwent White,dw78@nittany.edu,59,F,CMPEN,"138, Building 5",Computer Engineering,Professor,54,CMPEN362
Dr Beauregard Moore,bm79@nittany.edu,59,M,CMPEN,"107, Building 5",Computer Engineering,Professor,28,CMPEN411
Dr Halliwell Phillips,hp75@nittany.edu,43,M,CMPEN,"124, Building 5",Computer Engineering,Professor,16,CMPEN431
Dr Rich Collins,rc19@nittany.edu,49,M,CMPEN,"142, Building 5",Computer Engineering,Professor,24,CMPEN441
Dr Ford Price,fp60@nittany.edu,56,F,CMPEN,"189, Building 5",Computer Engineering,Professor,47,CMPEN454
Dr Merle Hill,mh50@nittany.edu,60,M,EE,"180, Building 13",Electrical and Electronics Engineering,Head,44,EE210
Dr Thatcher Jenkins,tj11@nittany.edu,52,M,EE,"296, Building 13",Electrical and Electronics Engineering,Professor,4,EE211
Dr Arlie Adams,aa18@nittany.edu,60,F,EE,"131, Building 13",Electrical and Electronics Engineering,Professor,40,EE212
Dr Aspen Brown,ab29@nittany.edu,49,F,EE,"276, Building 13",Electrical and Electronics Engineering,Professor,6,EE311
Dr Raimy Perez,rp45@nittany.edu,53,M,EE,"152, Building 13",Electrical and Electronics Engineering,Professor,26,EE320
Dr Cassidy Gomez,cg89@nittany.edu,44,F,EE,"149, Building 13",Electrical and Electronics Engineering,Professor,53,EE330
Dr Baldwin Roberts,br31@nittany.edu,42,F,EE,"293, Building 13",Electrical and Electronics Engineering,Professor,17,EE340
Dr Searles Williams,sw32@nittany.edu,53,F,EE,"219, Building 13",Electrical and Electronics Engineering,Professor,15,EE352
Dr Karol Hodgson,kh18@nittany.edu,46,M,EE,"144, Building 13",Electrical and Electronics Engineering,Professor,19,EE353
Dr Jackie Carpenter,jc66@nittany.edu,47,F,MATH,"181, Building 12",Mathematics,Head,36,MATH140
Dr Casimiro Young,cy98@nittany.edu,41,F,MATH,"277, Building 12",Mathematics,Professor,41,MATH141
Dr Virginia Hines,vh43@nittany.edu,45,F,MATH,"268, Building 12",Mathematics,Professor,50,MATH230
Dr Bethel Hawkins,bh63@nittany.edu,44,M,MATH,"294, Building 12",Mathematics,Professor,45,MATH231
Dr Addai Reyes,ar69@nittany.edu,48,F,PHYS,"174, Building 8",Physics,Head,12,PHYS211
Dr Erasmo Martin,em34@nittany.edu,50,F,PHYS,"127, Building 8",Physics,Professor,49,PHYS212
Dr Mikelle Parry,mp11@nittany.edu,41,M,PHYS,"182, Building 8",Physics,Professor,14,PHYS213
Dr Buddy Sutherland,bs39@nittany.edu,57,M,PHYS,"175, Building 8",Physics,Professor,29,PHYS214
Dr Adan Senior,as52@nittany.edu,57,F,STAT,"110, Building 14",Statistics,Head,21,STAT318
Dr Cavan Jacobs,cj88@nittany.edu,56,M,STAT,"156, Building 14",Statistics,Professor,18,STAT319
Dr Carlyle Peters,cp54@nittany.edu,42,M,STAT,"227, Building 14",Statistics,Professor,39,STAT414
Dr Roy Fuller,rf73@nittany.edu,41,M,STAT,"104, Building 14",Statistics,Professor,46,STAT415
Dr Lexis Gardner,lg14@nittany.edu,46,F,ECON,"206, Building 15",Economics,Head,51,ECON101
Dr Welborn Mitchell,wm35@nittany.edu,55,M,ECON,"236, Building 15",Economics,Professor,20,ECON102
Dr Kourtney Booth,kb76@nittany.edu,51,M,ECON,"224, Building 15",Economics,Professor,27,ECON201
Dr Finch Foster,ff47@nittany.edu,50,F,CHEM,"217, Building 3",Chemistry,Head,10,CHEM110
Dr Royal Parsons,rp85@nittany.edu,44,M,CHEM,"257, Building 3",Chemistry,Professor,31,CHEM111
Dr Konnor Nicholson,kn67@nittany.edu,55,M,CHEM,"170, Building 3",Chemistry,Professor,34,CHEM112
Dr Rudd Sullivan,rs84@nittany.edu,53,M,IST,"195, Building 10",Information Science and Technology,Head,1,IST110
Dr Radcliff Silva,rs62@nittany.edu,56,M,IST,"274, Building 10",Information Science and Technology,Professor,32,IST558
Dr Mina Harding,mh33@nittany.edu,57,F,IST,"184, Building 10",Information Science and Technology,Professor,7,IST128
Dr Jair Woods,jw68@nittany.edu,58,M,DS,"213, Building 6",Data Science,Head,8,DS220
Dr Ralf Reed,rr63@nittany.edu,56,M,DS,"270, Building 6",Data Science,Professor,9,DS120
Dr Marni Amor,ma43@nittany.edu,56,M,DS,"216, Building 6",Data Science,Professor,22,DS410
