Full Name,Email,Age,Zip,Phone,Gender,City,State,Street,Major,Courses 1,Course 1 Name,Course 1 Details,Course 1 Section,Course 1 Section Limit,Course 1 HW_No,Course 1 HW_Details,Course 1 HW_Grade,Course 1 EXAM_No,Course 1 Exam_Details,Course 1 EXAM_Grade,Courses 2,Course 2 Name,Course 2 Details,Course 2 Section,Course 2 Section Limit,Course 2 HW_No,Course 2 HW_Details,Course 2 HW_Grade,Course 2 EXAM_No,Course 2 Exam_Details,Course 2 EXAM_Grade,Courses 3,Course 3 Name,Course 3 Details,Course 3 Section,Course 3 Section Limit,Course 3 HW_No,Course 3 HW_Details,Course 3 HW_Grade,Course 3 EXAM_No,Course 3 Exam_Details,Course 3 EXAM_Grade,Teaching Team ID
Alisa Lynch,al4613@nittany.edu,19,62901,1507045398,F,Carbondale,Illinois,78 South Brewery Ave. ,CHEM,EE320,Network Security and Cryptography,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,93.0,1.0,Closed book exam for 100 marks,86.0,EE212,Introduction to Signal Conditioning ,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,85.0,1.0,Closed book exam for 100 marks,81.0,CMPEN454,Fundamentals of Computer Vision,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,90.0,,,,
Alisha Murray,am4447@nittany.edu,21,46376,3852017301,F,Schneider,Indiana,639 Princeton Rd. ,CMPSC,PHYS212,Solid State Physics,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,95.0,1.0,Closed book exam for 100 marks,82.0,IST110,"Introduction to Information, People And Technology",3 Credit Course.,1.0,70,1.0,Turn in this homework online!,64.0,1.0,Closed book exam for 100 marks,83.0,CMPEN331,Computer Organization And Design,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,60.0,1.0,Closed book exam for 100 marks,84.0,
Alice Kiehn,ak9804@nittany.edu,20,30529,4651079903,M,Commerce,Georgia,8985 Cambridge Ave. ,PHYS,CMPEN411,VLSI Digital Circuits,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,79.0,1.0,Closed book exam for 100 marks,76.0,MATH231,Vector Calculus,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,80.0,1.0,Closed book exam for 100 marks,93.0,CHEM111,Experimental Chemistry,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,74.0,1.0,Closed book exam for 100 marks,87.0,
Anastasia Shields,as1233@nittany.edu,18,72571,1245720203,F,Rosie,Arkansas,55 Hall St. ,CSE,CMPSC360,Discrete Mathematics for CMPSC,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,60.0,1.0,Closed book exam for 100 marks,94.0,CMPEN431,Introduction to Computer Architecture,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,69.0,1.0,Closed book exam for 100 marks,83.0,EE330,Energy Systems,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,67.0,1.0,Closed book exam for 100 marks,95.0,
Alyce Leuschke Jr.,al5684@nittany.edu,21,80104,5672573168,M,Castle Rock,Colorado,232 W. Homewood Ave. ,PHYS,CMPSC497,Introduction to Data Mining,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,97.0,,,,CMPSC461,Programming Language Concepts,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,96.0,1.0,Closed book exam for 100 marks,84.0,CMPSC475,Applications Programming,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,97.0,1.0,Closed book exam for 100 marks,97.0,
Althea Leuschke,al6759@nittany.edu,21,91042,5188242875,F,Tujunga,California,608 North Addison St. ,PHYS,CMPSC360,Discrete Mathematics for CMPSC,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,88.0,1.0,Closed book exam for 100 marks,91.0,PHYS213,General Physics: Electricity and Magnetism,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,75.0,1.0,Closed book exam for 100 marks,99.0,ECON101,Principles of Economics,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,94.0,1.0,Closed book exam for 100 marks,81.0,24.0
Alysa Hintz,ah2567@nittany.edu,20,52041,2747801612,F,Earlville,Iowa,7764 Union Avenue ,EE,CMPEN351,Microprocessors,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,75.0,1.0,Closed book exam for 100 marks,62.0,STAT414,Introduction to Probability Theory,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,80.0,,,,MATH230,Ordinary and Partial Differential Equations,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,84.0,1.0,Closed book exam for 100 marks,79.0,
Alisha Beier,ab8825@nittany.edu,21,33162,9958003600,M,Miami,Florida,91 S. Gartner Street ,CSE,PHYS211,Thermal Physics,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,78.0,1.0,Closed book exam for 100 marks,63.0,CMPEN270,Embedded Systems Design,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,96.0,1.0,Closed book exam for 100 marks,79.0,STAT319,Applied Statistics in Science,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,95.0,1.0,Closed book exam for 100 marks,61.0,
Anastacio Krajcik,ak1365@nittany.edu,18,86426,8949156456,F,Fort Mohave,Arizona,7195 North Canterbury Circle ,DS,CMPSC465,Data structures and algorithms,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,71.0,1.0,Closed book exam for 100 marks,65.0,STAT414,Introduction to Probability Theory,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,96.0,,,,STAT415,Introduction to Mathematical Statistics,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,80.0,1.0,Closed book exam for 100 marks,63.0,25.0
Alfonso Torp,at2037@nittany.edu,18,80820,6526624001,F,Guffey,Colorado,963 Court Road ,PHYS,PHYS214,General Physics: Wave Motion and Quantum Physics,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,96.0,1.0,Closed book exam for 100 marks,90.0,IST558,Data Mining 2,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,86.0,,,,CSE583,Pattern Recognition,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,70.0,1.0,Closed book exam for 100 marks,91.0,34.0
Alexis Schulist,as3627@nittany.edu,22,62943,8721850538,M,Grantsburg,Illinois,9599 La Sierra St. ,CMPEN,CSE583,Pattern Recognition,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,67.0,1.0,Closed book exam for 100 marks,79.0,CMPSC360,Discrete Mathematics for CMPSC,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,73.0,1.0,Closed book exam for 100 marks,81.0,IST110,"Introduction to Information, People And Technology",3 Credit Course.,2.0,60,1.0,Turn in this homework online!,76.0,1.0,Closed book exam for 100 marks,88.0,
Alicia Harber,ah3078@nittany.edu,22,62684,8227926780,F,Sherman,Illinois,83 Corona Street ,MATH,STAT414,Introduction to Probability Theory,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,80.0,,,,EE353,Applied Electromagnetics,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,62.0,1.0,Closed book exam for 100 marks,73.0,CMPSC448,Machine Learning and Algorithmic AI,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,67.0,1.0,Closed book exam for 100 marks,70.0,
Amiya Bogisich II,ab8389@nittany.edu,18,47360,7939218274,M,Mooreland,Indiana,361 E. Sierra Street ,MATH,CMPEN441,Operating Systems,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,72.0,1.0,Closed book exam for 100 marks,92.0,CMPEN351,Microprocessors,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,63.0,1.0,Closed book exam for 100 marks,95.0,PHYS214,General Physics: Wave Motion and Quantum Physics,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,67.0,1.0,Closed book exam for 100 marks,100.0,
Alfredo Trantow,at1813@nittany.edu,20,46121,1893023565,F,Coatesville,Indiana,7450 West Manchester Street ,CMPSC,CMPEN431,Introduction to Computer Architecture,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,90.0,1.0,Closed book exam for 100 marks,76.0,CMPSC221,OOP with Web Design,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,60.0,1.0,Closed book exam for 100 marks,81.0,PHYS211,Thermal Physics,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,90.0,1.0,Closed book exam for 100 marks,64.0,
Alysson Okuneva,ao8250@nittany.edu,20,62824,3318636528,F,Clay City,Illinois,863 Stillwater Road ,MATH,PHYS212,Solid State Physics,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,79.0,1.0,Closed book exam for 100 marks,88.0,CSE583,Pattern Recognition,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,80.0,1.0,Closed book exam for 100 marks,65.0,DS220,Data Modelling,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,79.0,1.0,Closed book exam for 100 marks,80.0,
Anabel Littel,al8826@nittany.edu,22,30277,9062058566,M,Sharpsburg,Georgia,798 North Euclid Drive ,EE,EE352,Design of Digital Circuits and Systems,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,65.0,1.0,Closed book exam for 100 marks,85.0,ECON102,Introductory Microeconomic Analysis and Policy,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,90.0,1.0,Closed book exam for 100 marks,68.0,CMPSC132,Programming and Computation II,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,82.0,1.0,Closed book exam for 100 marks,80.0,
Alycia Berge,ab4479@nittany.edu,20,50244,3098851985,F,Slater,Iowa,8687 N. Sleepy Hollow Court ,EE,EE340,Design in Communications,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,67.0,,,,EE212,Introduction to Signal Conditioning ,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,87.0,1.0,Closed book exam for 100 marks,62.0,EE211,Circuit Theory,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,82.0,1.0,Closed book exam for 100 marks,94.0,
Ali Ledner,al5806@nittany.edu,19,71602,6758666803,F,White Hall,Arkansas,608 North Addison St. ,STAT,CHEM111,Experimental Chemistry,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,76.0,1.0,Closed book exam for 100 marks,75.0,EE210,Continuous Time Linear Systems,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,84.0,1.0,Closed book exam for 100 marks,91.0,EE352,Design of Digital Circuits and Systems,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,80.0,1.0,Closed book exam for 100 marks,70.0,
Angela Jast Jr.,aj1457@nittany.edu,19,33847,4557224936,M,Homeland,Florida,141 Gulf Rd. ,STAT,STAT318,Elementary Probability,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,66.0,1.0,Closed book exam for 100 marks,94.0,EE210,Continuous Time Linear Systems,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,91.0,1.0,Closed book exam for 100 marks,81.0,EE212,Introduction to Signal Conditioning ,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,90.0,1.0,Closed book exam for 100 marks,65.0,
Amely Rohan,ar7586@nittany.edu,18,39834,2554741695,F,Climax,Georgia,18 Lakeview Street ,PHYS,CSE543,Computer Security,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,72.0,1.0,Closed book exam for 100 marks,82.0,CHEM111,Experimental Chemistry,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,77.0,1.0,Closed book exam for 100 marks,85.0,DS120,Python for data science,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,85.0,1.0,Closed book exam for 100 marks,91.0,
Amaya Mosciski,am6718@nittany.edu,19,32927,6731949798,F,Cocoa,Florida,7764 Union Avenue ,CMPSC,CMPSC461,Programming Language Concepts,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,79.0,1.0,Closed book exam for 100 marks,76.0,MATH230,Ordinary and Partial Differential Equations,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,61.0,1.0,Closed book exam for 100 marks,97.0,CHEM111,Experimental Chemistry,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,85.0,1.0,Closed book exam for 100 marks,72.0,
Alexys Stanton,as4057@nittany.edu,21,61870,2485721261,M,Ridge Farm,Illinois,9659 Rosewood Drive ,EE,IST558,Data Mining 2,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,73.0,,,,MATH231,Vector Calculus,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,87.0,1.0,Closed book exam for 100 marks,86.0,EE210,Continuous Time Linear Systems,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,100.0,1.0,Closed book exam for 100 marks,60.0,3.0
Allene Zulauf,az6923@nittany.edu,22,96058,2474237601,M,Macdoel,California,358 Marvon Ave. ,ECON,IST110,"Introduction to Information, People And Technology",3 Credit Course.,2.0,60,1.0,Turn in this homework online!,76.0,1.0,Closed book exam for 100 marks,73.0,MATH140,Calculus with Analytic Geometry,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,71.0,1.0,Closed book exam for 100 marks,87.0,STAT318,Elementary Probability,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,86.0,1.0,Closed book exam for 100 marks,94.0,
Alysa Bosco Sr.,ab9912@nittany.edu,19,62884,3457483321,F,Sesser,Illinois,7529 Old Sunset Road ,EE,MATH140,Calculus with Analytic Geometry,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,78.0,1.0,Closed book exam for 100 marks,64.0,CHEM110,Environmental Chemistry,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,95.0,1.0,Closed book exam for 100 marks,95.0,CMPSC475,Applications Programming,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,96.0,1.0,Closed book exam for 100 marks,87.0,9.0
Amie Pacocha,ap8429@nittany.edu,18,60932,4152623526,M,East Lynn,Illinois,608 North Addison St. ,ECON,CMPEN454,Fundamentals of Computer Vision,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,79.0,,,,IST558,Data Mining 2,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,97.0,,,,CMPEN441,Operating Systems,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,65.0,1.0,Closed book exam for 100 marks,61.0,
Amara Gaylord,ag4728@nittany.edu,22,30078,3829440069,F,Snellville,Georgia,780 East Redwood Drive ,PHYS,DS220,Data Modelling,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,75.0,1.0,Closed book exam for 100 marks,90.0,CMPSC448,Machine Learning and Algorithmic AI,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,69.0,1.0,Closed book exam for 100 marks,73.0,MATH231,Vector Calculus,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,100.0,1.0,Closed book exam for 100 marks,85.0,
Americo Mitchell,am5109@nittany.edu,19,62320,6366913892,M,Camp Point,Illinois,9498 Newport Ave. ,MATH,MATH140,Calculus with Analytic Geometry,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,69.0,1.0,Closed book exam for 100 marks,80.0,CMPEN454,Fundamentals of Computer Vision,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,73.0,,,,IST558,Data Mining 2,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,84.0,,,,
